label	col_00	col_01	col_02	col_03	col_04	col_05	col_06	col_07	col_08	col_09	col_10	col_11	col_12	col_13	col_14
2	268 kg	0.1421	Fish	SAM, FABRICE	0.5891	1.2637	775	292	456 m^2	LISE	803	rat	157	0.0643	running
1	183 kg	0.73	guinea pig	Chris	1.1782	-0.2426	-190	450	151 m^2	Sam	366	rat	1053	0.3384	motor sports
4	1002 kg	-0.0335	rat	Eriq	0.6246	0.693	377	1094	388 m^2	Michael	170	ferret	522	0.8777	ice hockey
3	783 kg	0.6535	rabbit	Michael	0.0406	0.5602	716	841	85 m^2	Eriq	107	guinea pig	585	0.8413	volleyball
1	9 kg	0.7392	pig	Chris	0.9498	-0.0583	70	439	-420 m^2	Michael	476	rat	830	0.5758	soccer
0	487 kg	0.5475	fish	Reilly	0.0443	?	309	142	947 m^2	Michael	817	cat, pig, bird	176	-0.2232	badminton
2	658 kg	0.0386	CHICKEN	Sam, Fabrice	1.0443	0.8443	827	67	578 m^2	Chris	805	reptile	115	0.6436	basketball
1	372 kg	0.6912	rabbit	Reilly	0.8444	0.242	117	340	409 m^2	Sam	513	rat	792	0.6332	soccer
4	786 kg	0.3406	ferret	Tony	0.3295	0.7258	351	1230	908 m^2	Vani	131	ferret	699	0.6974	football
1	57 kg	0.552	pig	Chris	0.8191	0.2983	180	456	536 m^2	Michael	173	rat	918	0.9672	motor sports
4	835 kg	0.2957	dog	Eriq	0.6452	0.6037	438	731	376 m^2	Inan	437	ferret	514	0.8367	football
0	544 kg	0.4213	reptile	Reilly	0.3493	0.5741	267	70	1115 m^2	Inan	647	bird, guinea pig, hamster	283	-0.0719	baseball
3	962 kg	0.78	bird	Michael	0.024	0.1269	782	787	119 m^2	Eriq	-7	rabbit	520	0.8866	golf
4	916 kg	0.2692	dog	Tony	0.7107	0.5477	410	1006	646 m^2	Vani	576	ferret	704	0.9426	football
4	812 kg	0.3732	rat	Eriq	1.0264	0.5407	459	1165	757 m^2	Reilly	83	ferret	576	0.9865	football
1	238 kg	0.6123	guinea pig	Andrew	0.6428	-0.0926	137	226	480 m^2	Sam	889	rat	968	0.852	motor sports
2	397 kg	0.0953	fish	Sam	0.5337	1.114	975	99	576 m^2	N/A	1062	ferret	136	0.3283	BASKETBALL
1	417 kg	0.6778	pig	Chris	1.1292	0.014	23	474	112 m^2	Sam	470	rat	829	0.6276	motor sports
1	38 kg	None	guinea pig	Chris	0.7877	-0.1422	192	662	96 m^2	Sam	621	rat	512	0.5222	soccer
0	282 kg	0.1901	cat	Vani, Andrew	0.0866	0.4366	650	275	888 m^2	Inan	671	chicken, fish	280	-0.1031	badminton, baseball
0	377 kg	0.5242	reptile	Andrew, Reilly	0.1901	0.4449	110	-234	853 m^2	Inan	634	bird, pig, guinea pig, cat	458	0.1493	boxing, badminton
0	407 kg	0.5554	cat	Reilly, Vani	0.5508	0.4523	441	503	1092 m^2	Inan	1236	bird, pig, cat	302	-0.084	boxing
1	265 kg	0.4295	guinea pig	Inan	1.0614	0.2496	-15	351		Sam	340	RAT	921	0.5294	soccer
1	-130 kg	0.6503	guinea pig	Chris	0.8737	-0.2204	283	235	515 m^2	Sam	516	ferret	1105	0.5906	soccer
0	354 kg	0.4494	reptile	Andrew, Reilly	0.4509	0.1654	297	-206	872 m^2	Inan	682	CAT, HAMSTER, PIG, GUINEA PIG	418	0.122	boxing, baseball
1	431 kg	0.9223	guinea pig	Chris	0.7914	0.0922	150	541	175 m^2	Michael	617	rat	924	0.5257	motor sports
4	856 kg	0.1396	rat	Eriq	0.5367	0.5148	-94	1140	600 m^2	Andrew	175	ferret	649	1.0652	track & field
1	436 kg	0.9036	pig	Chris	0.8101	-0.064	391	527	-290 m^2	Sam	447	rat	787	0.4691	motor sports
1	275 kg	0.756	guinea pig	Chris	0.975	0.1061	108	409	264 m^2	Sam	594	bird, hamster, guinea pig	738	0.3987	soccer
4	739 kg	0.1905	bird	Eriq	0.8104	0.7931	638	1216	965 m^2	Andrew	-34	ferret	652	0.9467	track & field
2	327 kg	0.0099	fish	Fabrice	0.6139	0.8032	1119	-104	1016 m^2	Inan	645	reptile, dog	114	-0.0735	basketball
0	167 kg	0.2665	cat	Andrew, Reilly	0.4098	0.6854	28	152	1057 m^2	Inan	1031	hamster	284	0.1356	badminton
4	723 kg	0.4264	rat	Tony	0.7092	0.7822	451	723	685 m^2	Reilly	302	rabbit	679	0.9446	ice hockey, football
1	67 kg	0.2921	pig	Chris	0.5714	-0.0433	-241	445	249 m^2	Sam	849	rat	997	0.7146	Soccer
4	736 kg	0.3341	ferret	Eriq	0.6442	0.6092	358	1002	651 m^2	Vani	516	ferret	510	0.732	track & field, football
2	701 kg	-0.1508	chicken	Lise, Fabrice	0.7927	0.9599	997	294	780 m^2	Fabrice	1237	reptile, fish	187	0.2595	running
2	558 kg	-0.1589	chicken	Sam, Lise	0.5167	1.1285	834	288	1097 m^2	Lise	533	bird, guinea pig, hamster	134	0.4659	running
2	601 kg	-0.0445	fish	Sam, Fabrice	0.4656	0.887	635	564	809 m^2	Fabrice	724	chicken, fish, reptile	-19	0.0893	basketball
1	48 kg	0.3972	pig	Chris	0.9654	0.3096	163	324	1 m^2	Michael	710	rat	872	0.412	motor sports
3	597 kg	1.1834	bird	Inan	-0.0216	0.2961	911	417	12 m^2	Eriq	225	rabbit	793	0.7599	volleyball
4	1080 kg	0.5924	cat	Tony	0.6256	0.7418	447	1020	1156 m^2	Vani	432	reptile, dog	482	0.8097	ice hockey, track & field
4	776 kg	0.3171	ferret	Tony	0.8494	0.5225	427	1036	786 m^2	Andrew	93	ferret	481	0.7036	ice hockey, football
4	859 kg	0.1578	rat	Eriq	0.6084	0.8612	503	1140	532 m^2	Vani	262	ferret	843	1.0047	track & field
2	467 kg	0.0589	fish	Sam	0.4327	1.2089	604	470	1096 m^2	Chris	789	rabbit	-4	0.3947	running
4	887 kg	-0.0125	n/a	Tony	0.4673	0.7642	291	1227	663 m^2	andrew	87	rat	671	1.1587	TRACK & FIELD
1	174 kg	0.6867	guinea pig	Chris	0.6813	0.2169	48	391	165 m^2	Michael	384	ferret	892	0.5	soccer
1	334 kg	0.5741	guinea pig	Chris	1.0035	-0.2621	-240	328	177 m^2	Reilly	281	rabbit	907	0.2863	motor sports
3	1040 kg	0.777	rabbit	Michael	0.0778	0.3782	706	970	137 m^2	Eriq	-86	rabbit	598	0.8583	GOLF
1	348 kg	0.9706	rat	Chris	0.6682	0.1682	-169	317	480 m^2	Sam	555	rat	807	0.1858	soccer
0	523 kg	0.238	reptile	Vani	0.2337	0.2061	395	156	1235 m^2	Eriq	432	guinea pig, pig	267	0.035	boxing, badminton
0	282 kg	0.5489	cat	Andrew, Vani	0.0703	0.459	315	242	720 m^2	Inan	893	bird	347	0.279	boxing
